       table_name       |     column_name     |          data_type          | character_maximum_length | is_nullable |  column_default   | is_primary_key | is_foreign_key 
------------------------+---------------------+-----------------------------+--------------------------+-------------+-------------------+----------------+----------------
 ACCOUNTS               | account_id          | bigint                      |                          | NO          |                   | YES            | NO
 ACCOUNTS               | user_id             | bigint                      |                          | NO          |                   | NO             | YES
 ACCOUNTS               | balance             | integer                     |                          | YES         |                   | NO             | NO
 ACCOUNTS               | total_asset         | integer                     |                          | YES         |                   | NO             | NO
 ACCOUNTS               | profit              | integer                     |                          | YES         |                   | NO             | NO
 ACCOUNTS               | profit_rate         | double precision            |                          | YES         |                   | NO             | NO
 ACCOUNTS               | created_at          | text                        |                          | NO          |                   | NO             | NO
 ACCOUNTS               | type                | text                        |                          | NO          |                   | NO             | NO
 ACCOUNT_TRANSACTION    | transaction_id      | integer                     |                          | NO          |                   | YES            | NO
 ACCOUNT_TRANSACTION    | account_id          | bigint                      |                          | NO          |                   | NO             | NO
 ACCOUNT_TRANSACTION    | type                | text                        |                          | NO          |                   | NO             | NO
 ACCOUNT_TRANSACTION    | amount              | integer                     |                          | YES         |                   | NO             | NO
 ACCOUNT_TRANSACTION    | profit              | integer                     |                          | YES         |                   | NO             | NO
 ACCOUNT_TRANSACTION    | prev_balance        | integer                     |                          | YES         |                   | NO             | NO
 ACCOUNT_TRANSACTION    | after_balance       | integer                     |                          | YES         |                   | NO             | NO
 ACCOUNT_TRANSACTION    | trade_id            | integer                     |                          | YES         |                   | NO             | YES
 ACCOUNT_TRANSACTION    | created_at          | timestamp without time zone |                          | NO          |                   | NO             | NO
 AI_STRATEGY            | strategy_id         | integer                     |                          | NO          |                   | YES            | NO
 AI_STRATEGY            | user_id             | bigint                      |                          | NO          |                   | NO             | NO
 AI_STRATEGY            | strategy            | text                        |                          | NO          |                   | NO             | NO
 AI_STRATEGY            | prompt              | text                        |                          | YES         |                   | NO             | NO
 AI_STRATEGY            | created_at          | timestamp without time zone |                          | NO          |                   | NO             | NO
 CHART_PATTERN          | pattern_id          | integer                     |                          | NO          |                   | YES            | NO
 CHART_PATTERN          | name                | text                        |                          | YES         |                   | NO             | NO
 CHART_PATTERN          | description         | text                        |                          | YES         |                   | NO             | NO
 CHART_PATTERN          | chart_img           | text                        |                          | YES         |                   | NO             | NO
 DAILY_QUIZ_SCHEDULE    | schedule_id         | integer                     |                          | NO          |                   | YES            | NO
 DAILY_QUIZ_SCHEDULE    | quiz_date           | date                        |                          | NO          |                   | NO             | NO
 DAILY_QUIZ_SCHEDULE    | quiz_id             | integer                     |                          | NO          |                   | NO             | NO
 DAILY_QUIZ_SCHEDULE    | start_time          | timestamp without time zone |                          | NO          |                   | NO             | NO
 DAILY_QUIZ_SCHEDULE    | created_at          | timestamp without time zone |                          | YES         | CURRENT_TIMESTAMP | NO             | NO
 DAILY_SOLVED           | solved_id           | integer                     |                          | NO          |                   | YES            | NO
 DAILY_SOLVED           | solved_id           | integer                     |                          | NO          |                   | YES            | NO
 DAILY_SOLVED           | user_id             | bigint                      |                          | NO          |                   | NO             | NO
 DAILY_SOLVED           | user_id             | bigint                      |                          | NO          |                   | NO             | YES
 DAILY_SOLVED           | quiz_id             | integer                     |                          | NO          |                   | NO             | YES
 DAILY_SOLVED           | quiz_id             | integer                     |                          | NO          |                   | NO             | NO
 DAILY_SOLVED           | score               | integer                     |                          | YES         |                   | NO             | NO
 DAILY_SOLVED           | score               | integer                     |                          | YES         |                   | NO             | NO
 DAILY_SOLVED           | bonus_amount        | integer                     |                          | YES         | 0                 | NO             | NO
 DAILY_SOLVED           | bonus_amount        | integer                     |                          | YES         | 0                 | NO             | NO
 DAILY_SOLVED           | ranking             | integer                     |                          | YES         |                   | NO             | NO
 DAILY_SOLVED           | ranking             | integer                     |                          | YES         |                   | NO             | NO
 DAILY_SOLVED           | solved_time_seconds | integer                     |                          | YES         |                   | NO             | NO
 DAILY_SOLVED           | solved_time_seconds | integer                     |                          | YES         |                   | NO             | NO
 DAILY_SOLVED           | solved_at           | date                        |                          | NO          |                   | NO             | NO
 DAILY_SOLVED           | solved_at           | date                        |                          | NO          |                   | NO             | NO
 DAILY_SOLVED           | streak              | integer                     |                          | YES         |                   | NO             | NO
 DAILY_SOLVED           | streak              | integer                     |                          | YES         |                   | NO             | NO
 FRAME                  | frame_id            | integer                     |                          | NO          |                   | YES            | NO
 FRAME                  | frame_img           | text                        |                          | YES         |                   | NO             | NO
 FRAME                  | price               | integer                     |                          | YES         |                   | NO             | NO
 HAVE_FRAME             | have_id             | integer                     |                          | NO          |                   | YES            | NO
 HAVE_FRAME             | user_id             | bigint                      |                          | NO          |                   | NO             | NO
 HAVE_FRAME             | frame_id            | integer                     |                          | NO          |                   | NO             | YES
 HISTORY_CHALLENGE      | challenge_id        | integer                     |                          | NO          |                   | YES            | NO
 HISTORY_CHALLENGE      | theme               | text                        |                          | YES         |                   | NO             | NO
 HISTORY_CHALLENGE      | stock_name          | text                        |                          | YES         |                   | NO             | NO
 HISTORY_CHALLENGE      | stock_code          | text                        |                          | YES         |                   | NO             | NO
 HISTORY_CHALLENGE      | start_date          | timestamp without time zone |                          | YES         |                   | NO             | NO
 HISTORY_CHALLENGE      | end_date            | timestamp without time zone |                          | YES         |                   | NO             | NO
 HISTORY_CHALLENGE      | origin_date         | timestamp without time zone |                          | YES         |                   | NO             | NO
 HISTORY_CHALLENGE_DATA | challenge_data_id   | integer                     |                          | NO          |                   | YES            | NO
 HISTORY_CHALLENGE_DATA | challenge_id        | integer                     |                          | NO          |                   | NO             | NO
 HISTORY_CHALLENGE_DATA | event_date_time     | timestamp without time zone |                          | NO          |                   | NO             | NO
 HISTORY_CHALLENGE_DATA | origin_date_time    | timestamp without time zone |                          | NO          |                   | NO             | NO
 HISTORY_CHALLENGE_DATA | open_price          | integer                     |                          | YES         |                   | NO             | NO
 HISTORY_CHALLENGE_DATA | high_price          | integer                     |                          | YES         |                   | NO             | NO
 HISTORY_CHALLENGE_DATA | low_price           | integer                     |                          | YES         |                   | NO             | NO
 HISTORY_CHALLENGE_DATA | close_price         | integer                     |                          | YES         |                   | NO             | NO
 HISTORY_CHALLENGE_DATA | volume              | integer                     |                          | YES         |                   | NO             | NO
 HISTORY_CHALLENGE_NEWS | challenge_news_id   | integer                     |                          | NO          |                   | YES            | NO
